title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Conquest of the Planet of the Apes",movie,"Action, Sci-Fi",1972,tt0068408,6.1,38361,US
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,324797,US
"Battle for the Planet of the Apes",movie,"Action, Sci-Fi",1973,tt0069768,5.4,35920,US
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,67790,JP
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,105988,JP
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,28963,US
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,73918,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,685325,JP
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4661,JP
"Pirates of the Caribbean: On Stranger Tides",movie,"Action, Adventure, Fantasy",2011,tt1298650,6.6,574377,US
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,257464,US
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11918,JP
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37736,US
"Death Proof",movie,"Action, Drama, Thriller",2007,tt1028528,7,319150,JP
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,226075,JP
"Sister Act",movie,"Comedy, Family, Music",1992,tt0105417,6.5,111065,JP
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2940,JP
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114135,JP
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,483468,JP
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,159551,JP
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20111,US
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1783,JP
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,629492,JP
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,181128,JP
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,108885,JP
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,245035,US
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,175773,JP
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,62396,JP
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,91043,JP
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31300,JP
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16441,JP
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12427,JP
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35156,JP
Eragon,movie,"Action, Adventure, Family",2006,tt0449010,5.1,131514,US
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,458136,US
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,585590,JP
"The Bourne Supremacy",movie,"Action, Mystery, Thriller",2004,tt0372183,7.7,493466,JP
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,664904,JP
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,70764,JP
"The Blair Witch Project",movie,"Horror, Mystery",1999,tt0185937,6.5,294665,JP
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,392166,JP
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,79805,JP
Signs,movie,"Drama, Mystery, Sci-Fi",2002,tt0286106,6.8,394729,US
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,197707,US
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,113559,JP
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,186217,JP
"One on Top of the Other",movie,"Horror, Mystery, Thriller",1969,tt0065148,6.6,2769,JP
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,103534,US
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,98136,JP
"Battle Royale",movie,"Action, Adventure, Drama",2000,tt0266308,7.5,197260,JP
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21664,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102040,JP
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,50940,JP
Bogus,movie,"Comedy, Family, Fantasy",1996,tt0115725,5.4,7126,US
"I Still Know What You Did Last Summer",movie,"Horror, Mystery, Thriller",1998,tt0130018,4.8,80382,US
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42432,JP
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,130534,JP
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,385597,JP
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6446,JP
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,47537,JP
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,402702,JP
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,133531,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11537,JP
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15418,JP
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,422014,JP
"The Story of O",movie,Drama,1975,tt0073115,5.3,7066,JP
"The Guardian",movie,"Action, Adventure, Drama",2006,tt0406816,6.9,99561,US
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,859,JP
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,297801,JP
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12225,JP
